lat,lon,acq_date,evi,air_temp_encoded,wind,humidity,elevation,kbdi,fire
40.994758,-116.66322,2020-08-01,0.1063,15067.5,4.916,15.4,1529.0,287.15,0
36.3464,-118.6841,2020-10-03,0.2381,14365.36,3.014,27.0,2535.0,261.89,1
40.586248,-118.779389,2020-08-08,0.1438,14776.07,4.171,22.9,1896.0,273.48,0
37.4566,-119.0968,2020-10-27,0.2396,13971.79,4.277,26.6,2502.0,216.88,1
37.4899,-119.1633,2020-10-11,0.2606,14226.79,3.686,35.4,2390.0,230.96,1
39.8331,-120.9407,2020-09-14,0.4019,14502.5,4.354,30.4,1790.0,479.35,1
39.7929,-122.8543,2020-09-03,0.4602,14967.5,2.426,29.9,1025.0,516.69,1
39.856,-121.2652,2020-09-21,0.4007,14376.07,3.937,47.0,1695.0,449.35,1
38.2774,-121.1531,2020-02-26,0.154,14273.93,3.259,71.0,39.0,164.04,1
41.9571,-123.383,2020-09-10,0.3534,14711.07,3.504,24.6,1130.0,503.64,1
39.207368,-115.66998,2020-09-24,0.1146,14566.07,6.027,22.6,2011.0,220.59,0
41.0307,-123.5715,2020-09-21,0.4953,14443.93,3.176,70.1,650.0,460.52,1
39.8947,-122.7346,2020-08-29,0.3621,14815.36,2.98,32.9,1239.0,556.68,1
39.8313,-122.7618,2020-08-30,0.3861,14638.21,2.67,34.3,1833.0,555.58,1
39.374558,-117.43239,2020-09-24,0.1371,14555.36,4.496,27.7,1860.0,216.63,0
36.0586,-117.5867,2020-08-20,0.2234,15091.07,4.774,19.4,1811.0,332.09,1
38.82535,-118.098738,2020-08-03,0.0697,15068.93,7.243,13.9,1350.0,270.76,0
39.5291,-122.8587,2020-08-31,0.3674,14929.64,3.356,32.1,1020.0,477.79,1
39.342,-121.7364,2020-12-10,0.44,14186.79,5.063,60.9,26.0,155.61,1
40.264,-123.2866,2020-09-13,0.3843,14487.5,3.749,35.4,1510.0,549.02,1
37.990633,-117.828152,2020-08-02,0.0705,15108.21,5.003,10.4,1556.0,279.79,0
39.2088,-121.6541,2020-03-05,0.4765,14312.5,4.513,64.0,20.0,190.19,1
40.0569,-123.0998,2020-09-16,0.2728,14496.07,3.886,41.1,1534.0,485.12,1
41.1838,-123.2241,2020-10-05,0.354,14643.21,1.991,40.4,745.0,418.02,1
40.1697,-122.7534,2020-08-20,0.2841,15098.21,4.019,24.4,626.0,581.48,1
39.7236,-121.0963,2020-09-08,0.3968,14686.79,5.139,25.1,1679.0,531.78,1
37.0572,-119.9728,2020-02-23,0.407,14281.79,3.067,63.1,114.0,148.35,1
40.2146,-123.447,2020-10-03,0.4002,14643.21,3.167,34.0,1202.0,423.58,1
41.9185,-123.2127,2020-10-05,0.2412,14336.07,2.667,38.6,1713.0,398.82,1
38.235372,-117.813184,2020-09-20,0.0707,14692.5,3.981,21.0,1720.0,235.39,0
40.25589,-119.021059,2020-10-07,0.1025,14628.93,3.427,18.7,1496.0,194.18,0
40.1638,-123.0428,2020-09-04,0.389,14921.07,4.23,26.4,1365.0,517.28,1
37.518,-121.512,2020-08-21,0.2119,15075.36,3.391,27.3,868.0,430.21,1
37.5136,-119.1465,2020-10-13,0.2619,14279.64,3.907,32.6,2426.0,228.98,1
38.5772,-119.3415,2020-11-18,0.1618,13762.5,4.03,53.6,2228.0,97.4,1
36.0147,-121.4017,2020-09-08,0.3602,15090.36,3.159,27.0,645.0,343.61,1
40.0317,-123.1094,2020-09-30,0.2825,14801.79,4.554,24.6,1224.0,442.95,1
39.585862,-117.35269,2020-10-07,0.1139,14544.64,3.98,15.4,1940.0,191.14,0
41.1619,-123.429,2020-08-15,0.3001,14675.36,3.96,32.9,1841.0,536.26,1
39.6081,-119.8948,2020-06-28,0.1805,14626.07,4.853,33.1,1715.0,239.3,1
36.1801,-118.4581,2020-08-28,0.2367,14528.93,3.09,34.1,2199.0,307.52,1
39.8148,-121.3164,2020-09-11,0.4423,14569.64,4.414,27.4,1548.0,490.53,1
36.0438,-121.5652,2020-08-22,0.467,14948.21,2.141,48.1,502.0,149.65,1
41.726377,-116.522614,2020-08-23,0.1371,14911.79,6.93,22.9,1633.0,283.49,0
36.1317,-118.4582,2020-09-07,0.2497,14725.36,3.433,26.6,1753.0,329.07,1
40.3754,-123.4055,2020-10-04,0.3451,14619.64,3.201,34.0,1362.0,458.12,1
37.5907,-121.5002,2020-08-19,0.1669,15143.93,4.703,26.6,625.0,430.91,1
39.61,-122.8918,2020-09-05,0.3454,14909.64,2.797,22.4,1438.0,486.17,1
37.3675,-119.2952,2020-09-12,0.2533,14727.5,3.254,42.0,1106.0,310.83,1
35.784586,-116.883007,2020-08-06,0.0708,15268.21,5.31,17.0,596.0,385.82,0
39.0229,-121.3615,2020-04-15,0.2877,14468.93,4.494,59.1,37.0,37.85,1
41.541587,-116.89854,2020-08-01,0.1281,15019.64,5.889,17.3,1613.0,262.59,0
41.9256,-123.2682,2020-09-14,0.3168,14541.79,3.406,38.7,1309.0,487.69,1
34.310302,-114.995501,2020-09-09,0.0844,15234.64,7.519,12.7,333.0,405.89,0
36.0753,-121.3395,2020-09-09,0.3124,15115.36,4.417,24.6,461.0,342.86,1
41.281426,-116.45959,2020-09-08,0.1475,14611.07,5.516,17.9,1822.0,260.61,0
38.4652,-122.5571,2020-09-28,0.2038,14778.21,3.869,37.0,691.0,409.2,1
37.342,-119.2031,2020-10-03,0.197,14422.5,3.253,31.3,2125.0,251.52,1
38.544102,-116.332385,2020-09-07,0.1511,14756.07,4.25,15.7,1829.0,262.21,0
37.1768,-121.4261,2020-08-27,0.3117,14630.36,3.961,63.0,618.0,418.47,1
41.9489,-123.3767,2020-09-17,0.3544,14469.64,3.399,52.1,1132.0,472.03,1
37.3574,-119.0434,2020-10-07,0.2177,14342.5,3.47,39.1,2127.0,199.97,1
39.9204,-122.8766,2020-08-20,0.4293,14831.07,3.576,38.7,1176.0,540.69,1
41.40661,-116.651681,2020-08-11,0.1385,14801.79,6.159,21.3,1848.0,275.11,0
41.9271,-123.2124,2020-10-03,0.4415,14491.79,2.669,41.1,1396.0,410.1,1
39.863,-122.818,2020-08-29,0.4422,14888.21,3.109,30.4,1058.0,517.65,1
37.5778,-119.2916,2020-09-28,0.2663,14334.64,3.769,32.1,2690.0,262.19,1
39.8238,-122.9337,2020-09-08,0.4209,14756.07,3.154,22.9,1502.0,527.3,1
39.7173,-122.1785,2020-04-11,0.4356,14518.93,5.397,49.1,72.0,31.65,1
40.2212,-123.2284,2020-09-10,0.3679,14735.36,4.18,26.1,1140.0,515.77,1
40.2658,-123.2939,2020-09-16,0.3468,14430.36,3.98,49.9,1385.0,532.43,1
37.2853,-121.3435,2020-08-20,0.2281,15261.79,4.283,24.7,351.0,431.02,1
39.8486,-122.9602,2020-09-05,0.2416,14673.93,3.316,24.6,1985.0,523.65,1
40.5816,-115.7588,2020-07-20,0.1786,14933.21,5.991,20.6,1834.0,257.4,1
37.478,-121.7966,2020-08-18,0.3318,14969.64,4.611,43.9,321.0,341.07,1
38.767196,-117.815257,2020-11-11,0.1177,13421.07,3.307,62.6,2091.0,135.47,0
39.7447,-122.7556,2020-08-20,0.432,14876.79,3.327,32.3,1190.0,556.24,1
37.4769,-119.1248,2020-10-16,0.3361,14253.93,3.796,28.7,2564.0,231.12,1
41.1879,-123.4152,2020-08-09,0.122,14523.93,3.417,40.9,1869.0,532.62,1
41.443521,-116.850389,2020-09-13,0.1265,14721.07,4.791,13.3,1756.0,277.62,0
36.4224,-118.4218,2020-09-09,0.1812,14481.79,3.783,23.6,2501.0,253.82,1
40.92323,-117.38963,2020-09-28,0.1114,14566.79,2.931,26.6,1570.0,228.12,0
39.8993,-120.872,2020-08-21,0.393,14753.21,3.903,32.7,1392.0,427.63,1
36.1865,-118.5247,2020-09-12,0.2304,14383.21,3.161,28.1,2357.0,323.65,1
41.0167,-123.4404,2020-09-16,0.3539,14488.93,3.833,53.7,1488.0,469.24,1
35.143909,-117.674758,2020-09-09,0.1553,15043.21,5.93,12.9,814.0,371.91,0
39.546,-122.6905,2020-08-24,0.4472,14821.07,2.61,39.1,1217.0,551.25,1
38.851,-119.6274,2020-07-07,0.213,14653.21,5.11,22.0,1943.0,233.13,1
40.3449,-123.2665,2020-09-16,0.3679,14506.79,3.98,50.0,1228.0,532.43,1
38.5821,-122.4765,2020-09-27,0.385,14843.21,3.6,40.0,431.0,403.97,1
35.9831,-121.4433,2020-09-10,0.415,14754.64,1.909,43.0,822.0,341.94,1
39.8891,-122.8263,2020-08-26,0.4458,14844.64,2.794,35.9,1223.0,523.92,1
36.3592,-118.7136,2020-10-07,0.3157,14459.64,3.01,29.0,1695.0,245.49,1
41.237923,-116.451695,2020-08-24,0.1379,14911.79,5.55,24.9,1708.0,291.34,0
35.4597,-118.4891,2020-08-05,0.3111,14668.93,3.834,32.9,1659.0,309.76,1
39.8212,-122.7865,2020-08-23,0.3951,14658.93,2.373,39.9,1604.0,577.39,1
39.5533,-122.8871,2020-08-25,0.4144,14855.36,3.217,36.3,1194.0,487.46,1
40.3139,-123.422,2020-09-28,0.2968,14646.79,3.826,41.6,1203.0,482.79,1
37.556035,-117.487731,2020-09-04,0.118,14927.5,4.409,15.7,1956.0,274.69,0
39.9222,-122.9155,2020-08-22,0.3774,14659.64,3.671,36.4,1675.0,535.46,1
39.7831,-122.5929,2020-08-20,0.2423,15156.07,3.166,26.0,328.0,581.48,1
38.5472,-119.6116,2020-09-04,0.3311,14691.79,3.664,31.6,2102.0,224.0,1
40.3396,-121.5192,2020-08-04,0.3479,14664.64,3.987,41.9,1424.0,421.69,1
39.8741,-122.8949,2020-08-31,0.3855,14818.21,3.906,32.3,1244.0,515.2,1
36.1559,-118.4917,2020-09-07,0.3299,14716.79,3.433,26.6,1777.0,329.07,1
38.544759,-116.472562,2020-04-13,0.1511,13806.07,4.046,52.6,2124.0,2.42,0
39.9227,-123.142,2020-10-07,0.2373,14415.36,2.851,32.3,1572.0,403.3,1
37.5121,-119.3482,2020-09-26,0.2302,14371.79,3.811,34.7,2470.0,264.07,1
41.1919,-123.3298,2020-09-11,0.3962,14702.5,3.274,26.4,1175.0,521.68,1
39.9044,-121.3637,2020-10-03,0.4917,14874.64,4.344,22.9,669.0,413.52,1
41.286296,-116.550243,2020-10-10,0.1432,14363.21,4.33,31.0,1721.0,183.9,0
40.3998,-122.5736,2020-09-28,0.2772,14998.21,4.811,25.0,264.0,567.67,1
37.4164,-119.4448,2020-09-16,0.2918,14461.07,3.793,37.1,1989.0,293.64,1
40.1322,-123.4757,2020-09-10,0.4945,14799.64,4.366,28.6,786.0,456.1,1
37.5137,-119.1207,2020-10-27,0.2736,13884.64,5.087,27.6,2596.0,216.88,1
36.4295,-118.4195,2020-09-07,0.178,14553.21,3.784,25.7,2522.0,258.83,1
36.4883,-121.5096,2020-08-20,0.2829,14945.36,4.169,48.0,146.0,410.9,1
38.159119,-117.042469,2020-08-20,0.0972,15054.64,5.936,18.6,1822.0,265.08,0
36.2741,-118.3779,2020-08-27,0.2755,14448.21,3.82,31.3,2700.0,266.45,1
38.918,-122.32,2020-08-27,0.2525,15113.93,3.579,34.7,190.0,521.05,1
38.703785,-118.108582,2020-08-12,0.0944,14995.36,5.619,17.4,1619.0,270.58,0
40.9682,-122.3725,2020-11-24,0.4116,13886.07,3.496,57.3,1075.0,8.28,1
37.3262,-119.3958,2020-09-06,0.228,14746.79,3.963,24.7,2045.0,322.27,1
38.744,-122.4798,2020-08-26,0.2915,14900.36,3.797,42.7,353.0,437.36,1
36.0149,-121.4536,2020-09-08,0.5424,15062.5,3.223,24.0,958.0,343.61,1
